Model(s),Category,Item,Price (€)
2 M Classic Round In,Standard,Standard Option,1750
2 M Classic Round Out,Standard,Standard Option,1650
2 M Classic Round Horizon,Standard,Standard Option,1900
2.25 M Grande Round In,Standard,Standard Option,1850
2.25 M Grande Round Out,Standard,Standard Option,1750
2.25 M Grande Round Horizon,Standard,Standard Option,2000
2.25 M Paris In,Standard,Standard Option,1950
2.1 x 2.1 M Andorra In,Standard,Standard Option,2050
2 x 2 M Cuba,Standard,Standard Option,1950
2.2 x 2.2 M Monaco In,Standard,Standard Option,2050
2.2 x 2.2 M Monaco Out,Standard,Standard Option,2000
2.2 x 2.2 M Monaco Horizon,Standard,Standard Option,2400
2.45 x 2.45 M Macau In,Standard,Standard Option,2450
Arctic with Electrical Heater,Standard,Standard Option,1280
Arctic with Heat Pump,Standard,Standard Option,2780
Ofuro IN,Standard,Standard Option,1750
Ofuro OUT,Standard,Standard Option,1600
Coziness Grande Sauna,Standard,Standard Option,8000
Coziness Sauna,Standard,Standard Option,8000
Glow Sauna,Standard,Standard Option,7600
Woodland Sauna,Standard,Standard Option,7000
Mini Coziness Sauna,Standard,Standard Option,3000
Mini Coziness Sauna,Standard,Order Unassembled Option,400
Igloo Sauna,Standard,Standard Option,3930
S Size Sauna,Standard,Standard Option,3850
L Size Sauna,Standard,Standard Option,4680
"2 M Classic Round (All) | 2 x 2 M Cuba",Additional Shell Colors,All Additional Colors,150
"2.25 M Grande Round (All) | 2.25 M Paris In | 2.1 x 2.1 M Andorra In | 2.2 x 2.2 M Monaco (All)",Additional Shell Colors,All Additional Colors,170
2 M Classic Round (All),Additional Paneling Colors,Thermo,150
2 M Classic Round (All),Additional Paneling Colors,WPC,150
2 M Classic Round (All),Additional Paneling Colors,Burned Spruce,180
2.25 M Grande Round (All) | 2.25 M Paris In,Additional Paneling Colors,Thermo,180
2.25 M Grande Round (All) | 2.25 M Paris In,Additional Paneling Colors,WPC,200
2.25 M Grande Round (All) | 2.25 M Paris In,Additional Paneling Colors,Burned Spruce,200
2.1 x 2.1 M Andorra In | 2.2 x 2.2 M Monaco (All),Additional Paneling Colors,Thermo,200
2.1 x 2.1 M Andorra In | 2.2 x 2.2 M Monaco (All),Additional Paneling Colors,WPC,250
2.1 x 2.1 M Andorra In | 2.2 x 2.2 M Monaco (All),Additional Paneling Colors,Burned Spruce,250
2 x 2 M Cuba,Additional Paneling Colors,Thermo,180
2 x 2 M Cuba,Additional Paneling Colors,WPC,200
2 x 2 M Cuba,Additional Paneling Colors,Burned Spruce,220
2.45 x 2.45 M Macau In,Additional Paneling Colors,Thermo,250
2.45 x 2.45 M Macau In,Additional Paneling Colors,WPC,250
2.45 x 2.45 M Macau In,Additional Paneling Colors,Burned Spruce,250
Arctic with Electrical Heater,Additional Paneling Colors,Thermo,100
Arctic with Electrical Heater,Additional Paneling Colors,Burned Spruce,80
Arctic with Heat Pump,Additional Paneling Colors,Thermo,90
